star_id,label,catalog_period,recovered_period,period_error,relative_error,recovered_epoch,recovered_depth,recovered_duration,bls_power
231663901,confirmed_planet,1.43036994965074,1.4299268061868398,0.00044314346390028625,0.0003098103843753783,1326.0118471613703,0.013940363482494845,0.063,0.001388200425680298
149603524,confirmed_planet,4.411937227697335,4.412547809956599,0.0006105822592639143,0.0001383932335734041,1326.07607805538,0.010062396592040428,0.14300000000000002,8.783274379192468e-05
336732616,confirmed_planet,3.547854,3.549893807000856,0.00203980700085582,0.000574941077297944,1327.2449904759198,0.008152696347695354,0.117,0.00021019818574974673
231670397,confirmed_planet,4.0872956,4.089057091221935,0.0017614912219352519,0.00043096741570031096,1327.6706960216864,0.002466687802421758,0.197,9.6889721045766e-06
144065872,confirmed_planet,2.1846669193825514,2.1855894148989856,0.0009224955164341964,0.0004222591133914911,1326.5012915348225,0.009761959682099268,0.09,9.205200338094347e-05
38846515,confirmed_planet,2.849382725978083,2.8494798489049558,9.712292687291679e-05,3.4085602466610816e-05,1329.5938299362524,0.0055083506440150995,0.14300000000000002,6.0225033068884376e-05
92352620,confirmed_planet,3.9502008,3.9481714295411745,0.0020293704588256745,0.0005137385569932735,1328.3043118785179,0.008778189169811285,0.17,5.1618957415181904e-05
289793076,confirmed_planet,3.0440494555695627,3.0426615421047103,0.0013879134648524527,0.000455943139265707,1328.0894090955562,0.018102000392305584,0.09,0.0018717434207017936
29344935,confirmed_planet,2.76676000983202,2.768049033766095,0.0012890239340745957,0.00046589654668055465,1326.1224696562035,0.011788473367282644,0.09,0.000801452345735402
281459670,confirmed_planet,3.17435042404771,3.176880801094197,0.0025303770464870645,0.0007971322344621627,1328.0327646992898,0.01138318989370601,0.09,0.0002324049763101542
355703913,confirmed_planet,2.10615687963452,2.105629558702369,0.0005273209321510208,0.0002503711557529022,1326.1073839951925,0.009561861110191099,0.037,0.00032643262726007996
388104525,confirmed_planet,2.49979959810286,2.497980121602772,0.0018194765000880686,0.0007278489449589879,1327.417676019273,0.012091949610305294,0.09,0.0006916445271139885
97409519,confirmed_planet,3.372877,3.369864809559801,0.0030121904401987365,0.0008930626406473573,1327.065901855277,0.012245928925301849,0.09,0.0005345642594334728
25155310,confirmed_planet,3.28878982693448,3.2914800975131415,0.0026902705786615577,0.0008180123146297831,1327.5121258808235,0.005449676443069356,0.117,6.250817889780265e-05
281541555,confirmed_planet,4.74237090118084,4.748504326837973,0.006133425657132818,0.0012933247493580918,1329.8878062799265,0.008897114231110836,0.09,8.28585654946691e-05
238176110,confirmed_planet,2.79858018416552,2.799774854258631,0.0011946700931111387,0.00042688435366998966,1326.6846860838377,0.012491012495731464,0.09,0.0003408230140557877
322307342,confirmed_planet,3.58629619986471,3.5824646231365946,0.0038315767281154045,0.001068393828780776,2063.6686781290405,0.0007038786266710419,0.117,2.023877499589115e-06
266980320,confirmed_planet,6.034463389519887,6.041370871185479,0.0069074816655918525,0.0011446720643940181,1329.1910103986756,0.0014539844316340425,0.063,3.5547022997259216e-07
394137592,confirmed_planet,11.535076,11.488875150753126,0.0462008492468744,0.004005248794795491,1332.100632031225,0.0011848810612410745,0.25,8.714900145320054e-08
231702397,confirmed_planet,5.07803253491997,5.076368033983777,0.0016645009361928587,0.0003277846143652349,1329.123412336962,0.005644969667162527,0.037,5.099586978791622e-05
290131778,confirmed_planet,3.3088922,3.303716049690307,0.005176150309692762,0.0015643151837018935,1325.399849411749,0.002420044863271246,0.197,1.722185271220277e-06
52368076,confirmed_planet,4.6517186,4.649793448293639,0.0019251517063603174,0.00041385816123105934,1327.4434460958507,0.0007604336939202003,0.117,6.41947628752492e-07
70440470,confirmed_planet,3.0354016524572702,3.0368015253404828,0.0013998728832125273,0.0004611820916942831,1326.726549926171,0.013339383879614478,0.09,0.0007876821835201916
234523599,confirmed_planet,3.79551778380905,3.7976180168740084,0.0021002330649584344,0.0005533455998856402,1325.6448097763848,0.04411927625487758,0.063,0.010469119580800655
391949880,confirmed_planet,4.9404714,4.94777970687497,0.007308306874969972,0.001479273187366285,1328.105048462785,0.00028963899510538285,0.09,1.075493336895835e-08
201248411,confirmed_planet,0.980972,0.9812556062582137,0.0002836062582137755,0.0002891073937011204,1326.1006403022604,0.003520763287833431,0.037,1.3457642923818483e-05
263003176,confirmed_planet,14.3392144225603,14.370339782087413,0.03112535952711326,0.002170646076548157,1336.5533900841115,0.00030094278184002366,0.14300000000000002,4.3151237103813986e-09
89020549,confirmed_planet,2.1096804606002526,2.108456420006971,0.0012240405932817389,0.0005802018913013354,1326.910412525732,0.0009714488850704928,0.09,2.326620989869457e-06
234994474,confirmed_planet,1.40151826016575,1.4014546192087678,6.364095698230265e-05,4.5408582100654316e-05,1326.0318661915242,0.0005597582042306619,0.037,1.5039646466841337e-07
267263253,confirmed_planet,4.1269046,4.131987556836624,0.005082956836624852,0.0012316632753334915,1325.7682228367714,0.006837092173131902,0.17,3.9416856476602026e-05
410153553,confirmed_planet,0.4629303673466454,0.9257907432156421,0.46286037586899675,0.999848807763358,1325.725138379482,0.004790033336669405,0.01,3.2794605505061555e-05
62483237,confirmed_planet,11.0708575296637,14.352615445845212,3.281757916181512,0.29643213340865765,1334.8956860906537,0.0013629341178498374,0.09,1.8475762960551595e-07
403224672,confirmed_planet,1.0082361,1.00801690922515,0.0002191907748498867,0.00021740024469455785,1325.5372118893356,0.00020090857971088874,0.063,1.0327482997930097e-08
25375553,confirmed_planet,2.31096889835692,2.311953092988941,0.0009841946320210404,0.0004258796527814783,1325.5766169233189,0.005340996698610801,0.117,3.6118838491539e-05
261136679,confirmed_planet,6.267832,6.26347142888517,0.004360571114830236,0.000695706444402185,1325.5144604950603,0.000224167750728227,0.117,6.128955475641439e-10
393940766,confirmed_planet,4.8670758049795095,8.89865436035561,4.031578555376101,0.8283369145907672,2062.31435122104,0.0034474701780003347,0.01,1.2852734985426961e-06
271893367,confirmed_planet,5.85740753759727,5.871138974032612,0.013731436435342026,0.0023442856497867502,1548.8410134328717,0.004062309383237485,0.197,3.631394153159152e-05
140691463,confirmed_planet,2.08454341779798,2.084277123424749,0.0002662943732310019,0.0001277470984568427,1545.4256009836715,0.010061183301143098,0.063,0.0004074021933058035
394657039,confirmed_planet,3.7628372,3.7654807999937594,0.0026435999937595156,0.000702554974676958,1655.9934911472355,0.008363362965744726,0.14300000000000002,0.00012458752734072117
179317684,confirmed_planet,4.2311172621589,4.223480855254521,0.007636406904379278,0.0018048204365961843,1544.691207894508,0.005132348401898494,0.14300000000000002,4.667653518860336e-05
183120439,confirmed_planet,2.25544592236528,2.257008490168946,0.0015625678036657042,0.0006927977249071188,1654.4738684455685,0.0035578785507277364,0.063,3.688322110284946e-05
29857954,confirmed_planet,9.47686,9.483183445598197,0.006323445598196642,0.0006672511357344777,2066.043604734673,0.001049773851871794,0.037,2.187089980875415e-07
425997655,confirmed_planet,17.667173473428804,15.035263363127692,2.6319101103011118,0.14897177040002862,1340.2895848366227,0.0005857411941266074,0.09,1.6574808163912707e-08
307210830,confirmed_planet,3.690675857802184,3.685826267838718,0.004849589963466183,0.0013140113492259215,1356.2209113410242,0.0011406193242759302,0.063,4.826842015359218e-07
262530407,confirmed_planet,2.8531016,2.8540915877705375,0.0009899877705374927,0.00034698651128915026,1356.1481797540687,0.0013381407239313739,0.037,4.815057285223328e-07
251848941,confirmed_planet,6.5578513,6.550144416059109,0.0077068839408909184,0.0011752148056316735,1360.250848080591,0.0010533232881712294,0.09,7.176380668591415e-07
207141131,confirmed_planet,4.137440333354324,4.134403557572701,0.0030367757816236463,0.000733974519739275,1354.5976567080459,0.0009320065810649092,0.063,1.1864069146646151e-07
76923707,confirmed_planet,4.532050172920823,4.53533640647087,0.0032862335500469797,0.000725109701936301,1358.1132857030586,0.005731767558030996,0.09,2.8014719999800655e-05
100100827,confirmed_planet,0.9414525,0.941597339105371,0.00014483910537099742,0.00015384642918362575,1354.4555072617193,0.008724240464997172,0.09,9.733774304290246e-05
279741379,confirmed_planet,35.61338894967539,11.742530162291327,23.870858787384062,0.6702776537530737,1326.822263462542,0.0007095241725621532,0.117,1.3268127350340866e-08
166739520,confirmed_planet,10.020593207375375,9.990430906235297,0.030162301140078895,0.0030100314937322055,1357.6006759055697,0.005058640493658025,0.17,9.009535224833429e-06
183532609,confirmed_planet,8.1587261,8.152431094500969,0.006295005499032058,0.0007715672056979652,1358.9245326300754,0.008596620230192642,0.14300000000000002,2.1344953249181746e-05
183537452,confirmed_planet,3.922711331243955,3.919725738753887,0.002985592490067912,0.0007611043071887557,1356.4229154222455,0.008794913598071118,0.09,6.441803654013048e-05
183985250,confirmed_planet,0.7920645022021054,0.7921580432279584,9.354102585290569e-05,0.00011809773773833068,1354.2114817710628,0.0010950575840699781,0.037,9.581535124910683e-07
211438925,confirmed_planet,4.8996461,4.903452402293641,0.003806302293640762,0.000776852494232341,1356.5575676166961,0.0074865607862245435,0.117,6.1076405827929e-05
230982885,confirmed_planet,2.0727598,2.073993825689309,0.0012340256893090817,0.0005953539282791386,1355.4831293993602,0.010829838808660543,0.09,0.00016660153066882198
441462736,confirmed_planet,14.28117312608152,14.27077862140807,0.01039450467344949,0.0007278466959038639,1357.016598496223,0.0004367924237451404,0.25,1.5046249175111774e-08
12421862,confirmed_planet,10.21520251255381,10.19712442511772,0.018078087436091295,0.0017697238418792496,1356.3836417625462,0.0009215402313401327,0.063,2.221501729255878e-07
309792357,confirmed_planet,104.87242523178372,0.5008053130200827,104.37161991876364,0.9952246235184012,1325.4149633076786,7.469601716129077e-05,0.223,8.025335947545145e-08
410214986,confirmed_planet,8.13822217724381,1.427225413799112,6.710996763444697,0.8246268800832279,1325.8368048926586,0.0016934819584762827,0.25,2.2205409590549544e-06
350618622,confirmed_planet,52.97873920258801,0.6862807143586093,52.2924584882294,0.987046110860919,1325.6623211055244,4.3053807746701756e-05,0.197,5.8658196526923304e-09
55650590,confirmed_planet,0.736313219931196,0.73562868934102,0.0006845305901760357,0.0009296730951537186,1327.7694564594099,0.0010420591230943749,0.037,8.22888932408156e-06
55652896,confirmed_planet,34.5059318313029,8.713225918989881,25.79270591231302,0.7474861434958999,1331.2959969442932,0.010786867525086263,0.17,8.662587752063141e-05
150098860,confirmed_planet,10.695306511724072,10.697619632986221,0.0023131212621496644,0.00021627442463795194,1335.8932907108172,0.0006263418117494928,0.09,7.37094447948456e-08
77044471,confirmed_planet,2.68650638568274,2.6858909735436884,0.0006154121390515854,0.00022907525637434382,1356.1042219754966,0.010256956075174378,0.09,0.0007051983627028715
120610833,confirmed_planet,3.126075095855992,3.1275846616884224,0.0015095658324302264,0.0004828949357075096,1354.7672834961645,0.007370319287753725,0.063,0.00010922494928764758
204376737,confirmed_planet,3.36100125300996,3.358814779151597,0.002186473858362792,0.0006505424109570579,1357.4027224520455,0.018366942287787087,0.09,0.0007642371006022953
402026209,confirmed_planet,1.33823135800679,1.3385474622578046,0.00031610425101469275,0.0002362104647476725,1355.1824457447117,0.02381969228792315,0.063,0.003308928314210275
305048087,confirmed_planet,5.436166729046963,5.437938096641878,0.0017713675949151408,0.0003258486509345321,1355.237920509207,0.005150185085533108,0.037,4.675251631154437e-05
9006668,confirmed_planet,1.2730965,1.2727248919130263,0.0003716080869737848,0.0002918931023483175,1354.671256470931,0.0003337229013645988,0.063,1.7458259154325807e-07
9725627,confirmed_planet,4.15678335726899,4.157049274147276,0.00026591687828592114,6.397179151059456e-05,1356.9609684188647,0.0035230163401144396,0.14300000000000002,2.4507485510837948e-05
77031414,confirmed_planet,1.38665190413455,1.3867131060432016,6.120190865166464e-05,4.413646169538312e-05,1355.195223719816,0.011003673280845746,0.09,0.00037117223831462364
118327550,confirmed_planet,7.397215983556253,7.38809410774384,0.009121875812413194,0.00123314985430881,1357.379013000042,0.0008254236112481129,0.037,1.8818433754516408e-07
158623531,confirmed_planet,7.8728936787037,7.8932849045901206,0.020391225886420727,0.0025900547776453926,1355.7048416149457,0.00999139061195763,0.117,0.00015966100096629696
160148385,confirmed_planet,3.42525631340766,3.4278609962643936,0.0026046828567336533,0.0007604344371362829,1354.31046169618,0.010119979903066272,0.09,0.0003587459432738299
184240683,confirmed_planet,1.62842883309799,1.628795811265345,0.000366978167354981,0.00022535720314950864,1355.5048073948803,0.01090045311894591,0.09,0.0006569852020768699
224225541,confirmed_planet,4.93772273227235,14.740835912342126,9.803113180069776,1.9853510842149622,1368.627060783786,0.004895251354403455,0.063,1.0731925076304015e-06
204317710,confirmed_planet,2.81264847067326,2.8118658773788234,0.0007825932944367509,0.0002782407053695631,1355.9857955231494,0.012198118397034741,0.09,0.0011965326536303564
92226327,confirmed_planet,24.73734116,14.501584951130763,10.235756208869237,0.413777541517693,1399.930965292972,0.005366396902933869,0.063,6.2236004882858474e-06
200723869,confirmed_planet,18.3877080853847,11.000182075210773,7.387526010173925,0.4017643730186163,1393.1474693705404,0.0004057745945965816,0.25,9.793661210682183e-09
12862099,confirmed_planet,2.42382258353343,2.4209399588756586,0.0028826246577713377,0.001189288637441883,1386.5916249539355,0.010938832057081642,0.09,0.00048520783140079514
37749396,confirmed_planet,13.475847841798752,0.5067788847553749,12.969068957043376,0.9623935435673685,1386.0781606217274,6.931608947025354e-05,0.223,1.579932183087434e-08
63898957,confirmed_planet,3.3639253966859,3.3605458404426183,0.0033795562432819004,0.0010046466091701675,1387.2865719637837,0.00032190670247396214,0.117,4.619511977631243e-08
70513361,confirmed_planet,11.1452784382067,11.1477984832819,0.0025200450751992065,0.0002261087588947385,1389.8417097341248,0.00046311539116168545,0.063,8.596980454082567e-09
120916706,confirmed_planet,0.5568212477245754,0.5568794463486675,5.819862409206511e-05,0.00010451940246513783,1386.1677288783915,0.03647291541510265,0.037,0.015683833637937336
122612091,confirmed_planet,2.216743559386217,2.2178661902883534,0.001122630902136379,0.0005064324636843508,1387.8273205504388,0.0029802970454911055,0.14300000000000002,1.8736482981338515e-05
159951311,confirmed_planet,5.92426613248315,5.92500392360178,0.0007377911186301489,0.00012453713289225656,1387.5668443391696,0.00985346939202925,0.09,0.00015205570278768033
164767175,confirmed_planet,10.751124783434165,10.74168948964306,0.009435293791105082,0.0008776099227909087,1393.0948361764724,0.0005547590402123319,0.117,6.585670876342666e-08
166836920,confirmed_planet,5.752580381164854,5.761257764969457,0.008677383804602812,0.001508433299431047,1387.9463475485547,0.003501947906478931,0.197,5.618347135767433e-06
220479565,confirmed_planet,3.69771670923474,3.6911245945826385,0.006592114652101522,0.001782752755406671,1389.245345487951,0.002774306275686748,0.037,8.65213170924098e-06
259377017,confirmed_planet,5.660477325087717,11.143026307370077,5.48254898228236,0.9685665479098797,1389.6798270624517,0.0025729005567494347,0.063,1.9521206426758887e-06
268766053,confirmed_planet,3.30984575478706,3.308048954155278,0.0017968006317818919,0.0005428653674217787,1386.2375322658015,0.01595950076557141,0.063,0.0004248047011862038
439456714,confirmed_planet,3.99344182704717,3.9972246275037215,0.0037828004565514384,0.0009472531766785534,1389.0266085847843,0.004973186306093975,0.063,2.18313541660815e-05
29781292,confirmed_planet,56.0045056484392,12.113788845650834,43.89071680278836,0.7836997451295521,1337.172506109539,0.000264457096897674,0.25,1.611878177715505e-08
382626661,confirmed_planet,17.617471587286758,8.822677536734457,8.794794050552301,0.499208641091203,1333.4637298661562,0.00036015135350804924,0.14300000000000002,5.894400988996171e-08
150030205,confirmed_planet,4.511729450820531,4.514917565202453,0.0031881143819223468,0.0007066280052192705,1327.8136965409208,0.00028285362567936,0.063,1.8503977019731455e-08
188570092,confirmed_planet,7.327945,7.330678101097984,0.002733101097984303,0.00037296965219912306,2450.643274423184,0.009207602488557027,0.117,6.379143912143581e-05
327952677,confirmed_planet,3.396944097608,3.4002300866265758,0.0032859890185759077,0.0009673367957069936,2090.1366663913964,0.008396236731785476,0.063,0.00014016134751816404
145750719,confirmed_planet,3.5608112,3.5603983788048783,0.0004128211951215377,0.0001159345924101614,2091.0365032692703,0.0015263476555843853,0.037,2.678437506180787e-06
114749636,confirmed_planet,4.60274981778029,4.608537490334676,0.0057876725543861696,0.0012574380063040918,2089.433986679444,0.0017572532177141179,0.037,2.6791100355232753e-06
169765334,confirmed_planet,5.70428581412041,5.704865037532523,0.000579223412112917,0.00010154179348431406,2090.79590104422,0.0008181455616010634,0.14300000000000002,5.999712013960207e-07
139285832,confirmed_planet,0.77685,0.7769697219122529,0.0001197219122528459,0.00015411200650427482,2062.4462911868823,0.0005566308955178439,0.063,2.32981268218665e-06
224245334,confirmed_planet,3.78523282768119,3.7747193023562096,0.0105135253249804,0.0027775108701624885,2089.9431139926855,0.0009702218553455524,0.14300000000000002,3.1545570867710886e-06
116156517,confirmed_planet,5.36777,5.370355232760555,0.0025852327605546677,0.00048162137359735374,2092.6911106205284,0.0012824096972143555,0.037,1.1108789113336572e-06
228381868,confirmed_planet,3.46549525168069,3.1289556285363895,0.3365396231443003,0.09711155223227788,2090.303616845326,0.002508428868751011,0.01,2.800585314513757e-06
422655579,confirmed_planet,2.9036857613259768,2.90437537634002,0.0006896150140431878,0.0002374964340935684,1413.1388031704541,0.002935258959281521,0.197,1.976948838387061e-05
382391899,confirmed_planet,1.95509315621449,1.954896026855937,0.0001971293585529832,0.00010082862697687049,1411.095197206209,0.014870518258329345,0.063,0.0003715108236011938
178155732,confirmed_planet,5.9739124488142,5.974663689358383,0.0007512405441829628,0.00012575352428073855,1415.6322476975597,0.00023428662103253757,0.117,1.0634810475461193e-09
1129033,confirmed_planet,1.36002827981971,1.3601484454152726,0.00012016559556249362,8.835521830356585e-05,1410.9830001579921,0.013941368531516066,0.09,0.00022195441917332792
35857242,confirmed_planet,3.6344447,3.6340251143628444,0.00041958563715560615,0.00011544697245100638,1413.318541636401,0.00651046242155813,0.14300000000000002,9.379177749594758e-05
120896927,confirmed_planet,4.755999519737232,11.454153251173896,6.698153731436664,1.408358790542253,1397.3716461816034,0.0006259488997979153,0.063,9.824546792591482e-09
257567854,confirmed_planet,3.532822,3.5313912437670933,0.0014307562329065604,0.0004049896181881115,1411.9063000533504,0.008286346962595299,0.117,0.00015366168673132622
166833457,confirmed_planet,2.96264019750485,2.9634629210194654,0.000822723514615209,0.0002776994369103986,1413.1614540571056,0.021374260331487167,0.063,0.0011831462718771611
153065527,confirmed_planet,13.1757294345325,6.5898739289181405,6.585855505614359,0.49984750660964355,1388.5728177785484,0.0016482236811041855,0.09,1.8301189537469826e-06
100990000,confirmed_planet,9.573078691323715,9.583803544958712,0.010724853634997089,0.0011203139534115866,1386.1759748683703,0.00028871272172972936,0.117,4.391420952243472e-09
170634116,confirmed_planet,3.66239178108442,3.6622614792198362,0.00013030186458395931,3.5578352173283175e-05,1412.8922540765375,0.009635092744823876,0.117,5.21042493737335e-05
152476657,confirmed_planet,3.61126205809684,3.609395599883222,0.001866458213618305,0.000516843747031181,1411.7335047356805,0.0042703184247359785,0.117,2.5918518767572365e-05
178284730,confirmed_planet,2.23598645523921,2.2349454315936685,0.0010410236455413724,0.00046557690146204476,1412.703088442426,0.01547279954975446,0.037,0.00010815815471458597
94986319,confirmed_planet,16.067522015214,8.04777445574582,8.019747559468179,0.49912784011588396,1440.1118089633408,0.001367457891782827,0.09,3.683236334638078e-07
43647325,confirmed_planet,3.16156970080926,3.158358643671908,0.003211057137352036,0.0010156528057977366,1440.1345317943226,0.012733023738035858,0.117,0.0003021940820318796
31374837,confirmed_planet,12.4610086397464,12.475925473192278,0.014916833445878908,0.0011970807401817584,1440.6226893903688,0.0015799733761928682,0.117,1.8576203018697267e-07
78055054,confirmed_planet,4.388851647462,4.387779246545605,0.0010724009163949333,0.00024434658597200133,1439.2513440689897,0.020152361811092215,0.09,0.001831836769659074
32499655,confirmed_planet,2.74390294216269,2.741763125124178,0.0021398170385120707,0.0007798442888163928,1440.2631160807334,0.013101913023977433,0.037,0.00037481195999996376
13021029,confirmed_planet,3.85588998096666,3.8548892421410286,0.001000738825631231,0.00025953510877412244,1439.1262255228664,0.007350259770119169,0.14300000000000002,0.000204343947890445
70899085,confirmed_planet,4.0520368,4.056879827496215,0.004843027496215235,0.0011952081719038769,1438.3677666573067,0.0034972788558728443,0.063,1.2280546034954508e-05
117979897,confirmed_planet,3.3106692005591,3.3073404181539607,0.003328782405139119,0.0010054711611105574,1439.8852859765345,0.007089427039042289,0.117,0.0002898237319174411
179034327,confirmed_planet,17.9635082681689,14.303791318744716,3.659716949424185,0.20373063517381818,1421.240576046393,0.001176198887784767,0.117,1.729922987041988e-07
1528696,confirmed_planet,0.882062425827087,0.8816909962847117,0.00037142954237534553,0.0004210921262483953,1438.4069638253015,0.007357233546565017,0.037,0.00041289642796713997
139528693,confirmed_planet,2.17517287669693,2.176959646807435,0.001786770110504765,0.0008214382082669369,1440.3588620698108,0.005754468462951742,0.17,0.00028765444225060407
